"DomainDNS","ObjectDN","ObjectType","SamAccountName","IsProtectedByAdminSDHolder","Trustee","TrusteeShortName","AccessControlType","ActiveDirectoryRights","IsInherited","IsSafePrincipal","IsDangerousForProtectedObjects"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","CHILD\Domain Admins","CHILD\Domain Admins","Allow","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","False","True","False"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","Everyone","Everyone","Allow","ExtendedRight","False","True","False"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","MATHIASMOTRON\Enterprise Admins","MATHIASMOTRON\Enterprise Admins","Allow","CreateChild, DeleteChild, Self, WriteProperty, ExtendedRight, GenericRead, WriteDacl, WriteOwner","False","False","True"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","NT AUTHORITY\Authenticated Users","NT AUTHORITY\Authenticated Users","Allow","GenericRead","False","True","False"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","NT AUTHORITY\SELF","NT AUTHORITY\SELF","Allow","ExtendedRight","False","True","False"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","NT AUTHORITY\SELF","NT AUTHORITY\SELF","Allow","ReadProperty, WriteProperty, ExtendedRight","False","True","False"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","NT AUTHORITY\SYSTEM","NT AUTHORITY\SYSTEM","Allow","GenericAll","False","True","False"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-554","S-1-5-32-554","Allow","GenericRead","False","False","True"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-554","S-1-5-32-554","Allow","GenericRead","False","False","True"
"child.mathiasmotron.com","CN=Domain Controllers,CN=Users,DC=child,DC=mathiasmotron,DC=com","Group","Domain Controllers","True","S-1-5-32-554","S-1-5-32-554","Allow","ReadProperty","False","False","True"
